"","Fecha","sitio","Longitud","Latitud","PM10","Tabla$sitio"
"226",2023-01-03 09:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,12.561,"Belfast Stockman's Lane"
"227",2023-01-03 10:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"228",2023-01-03 11:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,26.087,"Belfast Stockman's Lane"
"229",2023-01-03 12:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,16.425,"Belfast Stockman's Lane"
"230",2023-01-03 13:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,13.527,"Belfast Stockman's Lane"
"231",2023-01-03 14:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,18.358,"Belfast Stockman's Lane"
"232",2023-01-03 15:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,11.594,"Belfast Stockman's Lane"
"233",2023-01-03 16:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,9.662,"Belfast Stockman's Lane"
"234",2023-01-03 17:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,11.594,"Belfast Stockman's Lane"
"235",2023-01-03 18:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,9.662,"Belfast Stockman's Lane"
"236",2023-01-03 19:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,5.797,"Belfast Stockman's Lane"
"237",2023-01-03 20:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,7.73,"Belfast Stockman's Lane"
"238",2023-01-03 21:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,4.831,"Belfast Stockman's Lane"
"239",2023-01-03 22:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,2.899,"Belfast Stockman's Lane"
"240",2023-01-03 23:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,5.797,"Belfast Stockman's Lane"
"241",2023-01-04 00:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,6.763,"Belfast Stockman's Lane"
"242",2023-01-04 01:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,5.797,"Belfast Stockman's Lane"
"243",2023-01-04 02:00:00,"Belfast Stockman's Lane",-5.974944,54.572586,11.594,"Belfast Stockman's Lane"
